"","Mon","Year","Brooklyn","Manhattan","NYC","Queens"
"1","01","2019",2591,3194,2823,2124
"2","02","2019",2594,3198,2826,2127
"3","03","2019",2606,3207,2836,2133
"4","04","2019",2620,3220,2848,2136
"5","05","2019",2637,3238,2865,2153
"6","06","2019",2653,3255,2881,2164
"7","07","2019",2669,3272,2897,2179
"8","08","2019",2687,3286,2912,2188
"9","09","2019",2702,3292,2920,2191
"10","10","2019",2708,3288,2920,2192
"11","11","2019",2711,3284,2918,2190
"12","12","2019",2710,3276,2913,2188
"13","01","2020",2715,3274,2913,2186
"14","02","2020",2721,3276,2915,2188
"15","03","2020",2729,3265,2913,2195
"16","04","2020",2727,3246,2901,2188
"17","05","2020",2715,3210,2877,2183
"18","06","2020",2700,3171,2850,2174
"19","07","2020",2682,3124,2817,2164
"20","08","2020",2656,3063,2773,2145
"21","09","2020",2623,2995,2724,2122
"22","10","2020",2583,2923,2670,2092
"23","11","2020",2544,2861,2622,2064
"24","12","2020",2510,2810,2581,2032
"25","01","2021",2487,2769,2548,2003
"26","02","2021",2472,2742,2526,1985
"27","03","2021",2467,2729,2516,1972
"28","04","2021",2475,2739,2522,1967
"29","05","2021",2497,2773,2546,1968
"30","06","2021",2531,2831,2590,1990
"31","07","2021",2572,2908,2647,2012
"32","08","2021",2617,2994,2712,2049
"33","09","2021",2666,3078,2777,2082
"34","10","2021",2711,3152,2835,2120
"35","11","2021",2743,3225,2889,2159
"36","12","2021",2771,3292,2938,2186
